t_id,t_date,tour_wk,t_name,t_country,t_surf,t_indoor,t_alt,t_lvl,t_draw_size,m_num,t_round,t_round_num,m_best_of,m_score,m_time(m),w_id,w_name,w_rank,w_rank_pts,w_ioc,w_ent,w_hd,w_ht,w_age,w_svpt,w_1stWon,w_2ndWon,w_SvGms,w_ace,w_bpSaved,w_bpFaced,l_id,l_name,l_rank,l_rank_pts,l_ioc,l_ent,l_hd,l_ht,l_age,l_svpt,l_1stWon,l_2ndWon,l_SvGms,l_ace,l_bpSaved,l_bpFaced,t_loc,AvgW_IP_NV,AvgL_IP_NV
2019-7290,20190429,2019_13,Estoril,POR,Clay,0,0,1,32,16,R16,2,3,6-1 6-2,46.0,200221,Alejandro Davidovich Fokina,167.0,326.0,ESP,2.5,R,183.0,19.9,32.0,20.0,4.0,7.0,1.0,0.0,1.0,104871,Jeremy Chardy,42.0,1040.0,FRA,5,R,188.0,32.21,46.0,15.0,2.0,8.0,1.0,4.0,10.0,Estoril,46.84,53.16
2019-0717,20190408,2019_10,Houston,USA,Clay,0,0,1,32,19,R16,2,3,6-1 6-2,47.0,104719,Marcel Granollers,112.0,520.0,ESP,5,R,190.0,32.99,34.0,19.0,10.0,7.0,5.0,3.0,3.0,106071,Bernard Tomic,79.0,704.0,AUS,5,R,193.0,26.46,51.0,20.0,4.0,8.0,0.0,0.0,5.0,Houston,59.18,40.82
2019-0425,20190422,2019_12,Barcelona,ESP,Clay,0,0,1,64,32,R64,1,3,6-3 6-1,51.0,105526,Jan Lennard Struff,51.0,945.0,GER,5,R,193.0,28.99,50.0,27.0,9.0,8.0,7.0,3.0,3.0,106198,Hugo Dellien,92.0,631.0,BOL,2.5,R,180.0,25.85,41.0,15.0,7.0,8.0,2.0,0.0,4.0,Barcelona,62.81,37.19
2019-7290,20190429,2019_13,Estoril,POR,Clay,0,0,1,32,33,R32,1,3,6-3 6-0,51.0,105357,John Millman,50.0,965.0,AUS,5,R,183.0,29.87,43.0,23.0,10.0,8.0,5.0,1.0,1.0,106071,Bernard Tomic,76.0,724.0,AUS,5,R,193.0,26.52,44.0,16.0,6.0,7.0,2.0,3.0,7.0,Estoril,67.21,32.79
2019-0308,20190429,2019_13,Munich,GER,Clay,0,0,1,32,34,R32,1,3,6-1 6-1,51.0,106329,Thiago Monteiro,111.0,523.0,BRA,2.5,L,183.0,24.91,35.0,24.0,4.0,7.0,4.0,0.0,0.0,105526,Jan Lennard Struff,48.0,990.0,GER,5,R,193.0,29.01,44.0,9.0,10.0,7.0,2.0,4.0,9.0,Munich,27.14,72.86
2019-M021,20190506,2019_14,Madrid Masters,ESP,Clay,0,0,2,64,39,R32,2,3,6-2 6-3,52.0,103819,Roger Federer,3.0,5590.0,SUI,5,R,185.0,37.74,51.0,21.0,16.0,9.0,7.0,0.0,0.0,104755,Richard Gasquet,39.0,1105.0,FRA,5,R,185.0,32.88,40.0,19.0,5.0,8.0,1.0,0.0,3.0,Madrid,86.55,13.45
2019-0533,20190225,2019_07,Sao Paulo,BRA,Clay,1,0,1,32,46,QF,3,3,6-1 6-1,53.0,134770,Casper Ruud,108.0,527.0,NOR,5,R,183.0,20.18,40.0,21.0,8.0,7.0,3.0,0.0,0.0,106198,Hugo Dellien,95.0,600.0,BOL,5,R,180.0,25.69,40.0,12.0,5.0,7.0,0.0,3.0,8.0,Sao Paulo,63.08,36.92
2019-0308,20190429,2019_13,Munich,GER,Clay,0,0,1,32,48,R32,1,3,6-2 6-1,53.0,105550,Guido Pella,26.0,1445.0,ARG,5,L,185.0,28.95,38.0,18.0,11.0,7.0,1.0,3.0,3.0,104999,Mischa Zverev,95.0,616.0,GER,5,L,190.0,31.69,50.0,18.0,5.0,8.0,3.0,1.0,6.0,Munich,86.04,13.96
2019-0410,20190415,2019_11,Monte Carlo Masters,FRA,Clay,0,0,2,64,52,R64,1,3,6-1 6-1,54.0,106421,Daniil Medvedev,14.0,2295.0,RUS,5,R,198.0,23.17,40.0,15.0,14.0,7.0,5.0,0.0,0.0,105311,Joao Sousa,51.0,937.0,POR,5,R,185.0,30.04,46.0,15.0,4.0,7.0,1.0,3.0,8.0,Monte Carlo,61.15,38.85
2019-0360,20190408,2019_10,Marrakech,MOR,Clay,0,0,1,32,61,R32,1,3,6-3 6-0,55.0,106121,Taro Daniel,75.0,716.0,JPN,5,R,191.0,26.19,47.0,21.0,11.0,8.0,3.0,1.0,2.0,104999,Mischa Zverev,72.0,726.0,GER,5,L,190.0,31.63,37.0,11.0,3.0,7.0,2.0,2.0,7.0,Marrakech,64.9,35.1
2019-0425,20190422,2019_12,Barcelona,ESP,Clay,0,0,1,64,62,R64,1,3,6-3 6-4,55.0,126203,Taylor Fritz,58.0,890.0,USA,5,R,193.0,21.48,53.0,27.0,13.0,10.0,5.0,0.0,0.0,124187,Reilly Opelka,59.0,886.0,USA,5,R,211.0,21.65,46.0,24.0,8.0,9.0,7.0,2.0,4.0,Barcelona,54.71,45.29
2019-M021,20190506,2019_14,Madrid Masters,ESP,Clay,0,0,2,64,63,R64,1,3,6-3 6-1,55.0,104792,Gael Monfils,18.0,1920.0,FRA,5,R,193.0,32.68,39.0,25.0,5.0,8.0,4.0,1.0,2.0,104312,Andreas Seppi,67.0,775.0,ITA,5,R,190.0,35.2,52.0,13.0,11.0,8.0,1.0,6.0,11.0,Madrid,74.3,25.7
2019-0425,20190422,2019_12,Barcelona,ESP,Clay,0,0,1,64,68,R64,1,3,6-2 6-2,56.0,105077,Albert Ramos,83.0,660.0,ESP,2.5,L,188.0,31.26,40.0,21.0,11.0,8.0,2.0,0.0,0.0,111815,Cameron Norrie,45.0,1005.0,GBR,5,L,188.0,23.66,44.0,15.0,8.0,8.0,3.0,1.0,5.0,Barcelona,60.0,40.0
2019-0717,20190408,2019_10,Houston,USA,Clay,0,0,1,32,79,R32,1,3,6-3 6-4,57.0,105992,Ryan Harrison,107.0,545.0,USA,5,R,183.0,26.92,47.0,27.0,13.0,10.0,3.0,0.0,0.0,103333,Ivo Karlovic,77.0,709.0,CRO,5,R,208.0,40.11,53.0,28.0,8.0,9.0,11.0,3.0,5.0,Houston,42.42,57.58
2019-0410,20190415,2019_11,Monte Carlo Masters,FRA,Clay,0,0,2,64,80,R64,1,3,6-4 2-0 RET,57.0,126203,Taylor Fritz,65.0,810.0,USA,5,R,193.0,21.46,38.0,13.0,13.0,6.0,8.0,1.0,2.0,104542,Jo-Wilfried Tsonga,102.0,593.0,FRA,4,R,188.0,33.99,47.0,15.0,8.0,6.0,1.0,5.0,8.0,Monte Carlo,17.01,82.99
2019-7290,20190429,2019_13,Estoril,POR,Clay,0,0,1,32,81,R16,2,3,6-3 2-1 RET,57.0,106249,Joao Domingues,214.0,237.0,POR,2.5,R,178.0,25.56,35.0,20.0,3.0,6.0,0.0,4.0,5.0,105357,John Millman,50.0,965.0,AUS,5,R,183.0,29.87,43.0,13.0,8.0,6.0,0.0,3.0,6.0,Estoril,38.85,61.15
2019-M009,20190513,2019_15,Rome Masters,ITA,Clay,0,0,2,64,82,R32,2,3,6-2 6-2,57.0,106432,Borna Coric,15.0,2445.0,CRO,5,R,188.0,22.49,38.0,23.0,9.0,8.0,4.0,0.0,0.0,111815,Cameron Norrie,45.0,995.0,GBR,2.5,L,188.0,23.72,52.0,22.0,6.0,8.0,2.0,3.0,7.0,Rome,77.98,22.02
2019-6932,20190218,2019_06,Rio de Janeiro,BRA,Clay,0,0,1,32,92,R32,1,3,6-2 6-1,58.0,111815,Cameron Norrie,62.0,762.0,GBR,5,L,188.0,23.49,50.0,23.0,10.0,8.0,4.0,5.0,6.0,105583,Dusan Lajovic,43.0,1010.0,SRB,5,R,180.0,28.64,44.0,12.0,6.0,7.0,0.0,2.0,7.0,Rio de Janeiro,38.31,61.69
2019-0360,20190408,2019_10,Marrakech,MOR,Clay,0,0,1,32,95,QF,3,3,6-1 6-3,58.0,105332,Benoit Paire,69.0,763.0,FRA,5,R,196.0,29.92,49.0,22.0,13.0,8.0,6.0,2.0,2.0,144719,Jaume Munar,60.0,854.0,ESP,5,R,183.0,21.92,46.0,16.0,8.0,8.0,2.0,4.0,8.0,Marrakech,40.0,60.0
2019-7648,20190422,2019_12,Budapest,HUN,Clay,0,0,1,32,96,R32,1,3,6-1 6-2,58.0,105357,John Millman,39.0,1095.0,AUS,5,R,183.0,29.85,47.0,22.0,11.0,8.0,3.0,0.0,0.0,200175,Miomir Kecmanovic,87.0,650.0,SRB,2.5,R,183.0,19.64,39.0,10.0,7.0,7.0,1.0,3.0,7.0,Budapest,44.27,55.73
2019-6932,20190218,2019_06,Rio de Janeiro,BRA,Clay,0,0,1,32,105,R32,1,3,6-1 4-1 RET,59.0,104655,Pablo Cuevas,63.0,751.0,URU,5,R,180.0,33.13,38.0,16.0,12.0,6.0,1.0,0.0,0.0,106043,Diego Schwartzman,19.0,1940.0,ARG,5,R,170.0,26.51,38.0,8.0,8.0,6.0,0.0,5.0,9.0,Rio de Janeiro,53.26,46.74
2019-7648,20190422,2019_12,Budapest,HUN,Clay,0,0,1,32,108,SF,4,3,6-2 6-2,59.0,105936,Filip Krajinovic,105.0,576.0,SRB,2.5,R,185.0,27.15,38.0,24.0,8.0,8.0,0.0,0.0,0.0,105732,Pierre Hugues Herbert,49.0,968.0,FRA,5,R,188.0,28.1,49.0,19.0,6.0,8.0,2.0,4.0,8.0,Budapest,68.19,31.81
2019-M021,20190506,2019_14,Madrid Masters,ESP,Clay,0,0,2,64,109,R32,2,3,6-1 6-2,59.0,104871,Jeremy Chardy,47.0,970.0,FRA,5,R,188.0,32.23,52.0,31.0,6.0,8.0,3.0,3.0,3.0,106043,Diego Schwartzman,25.0,1485.0,ARG,5,R,170.0,26.72,39.0,13.0,6.0,7.0,0.0,3.0,7.0,Madrid,30.22,69.78
2019-9158,20190204,2019_04,Cordoba,ESP,Clay,0,0,1,32,119,SF,4,3,6-1 6-0,60.0,106228,Juan Ignacio Londero,112.0,498.0,ARG,4,R,180.0,25.47,42.0,23.0,7.0,7.0,4.0,0.0,0.0,105643,Federico Delbonis,77.0,696.0,ARG,5,L,190.0,28.33,50.0,11.0,10.0,6.0,4.0,7.0,12.0,Cordoba,27.12,72.88
2019-0506,20190211,2019_05,Buenos Aires,ARG,Clay,0,0,1,32,120,R32,1,3,6-1 6-0,60.0,106148,Roberto Carballes Baena,119.0,467.0,ESP,5,R,183.0,25.89,43.0,23.0,7.0,7.0,5.0,1.0,1.0,106121,Taro Daniel,73.0,726.0,JPN,5,R,191.0,26.04,41.0,10.0,5.0,6.0,1.0,2.0,7.0,Buenos Aires,56.1,43.9
2019-0316,20190715,2019_18,Bastad,SWE,Clay,0,0,1,32,125,R32,1,3,6-3 6-2,60.0,106228,Juan Ignacio Londero,71.0,800.0,ARG,5,R,180.0,25.91,50.0,21.0,15.0,9.0,0.0,0.0,1.0,106032,Facundo Arguello,181.0,291.0,ARG,2.5,R,178.0,26.94,40.0,12.0,7.0,8.0,0.0,2.0,6.0,Bastad,67.9,32.1
2019-0439,20190715,2019_18,Umag,CRO,Clay,0,0,1,32,126,SF,4,3,7-5 0-0 RET,60.0,105583,Dusan Lajovic,36.0,1251.0,SRB,5,R,180.0,29.04,37.0,18.0,8.0,6.0,1.0,2.0,3.0,106099,Salvatore Caruso,125.0,441.0,ITA,2.5,R,185.0,26.58,34.0,12.0,8.0,6.0,0.0,2.0,4.0,Umag,63.24,36.76
2019-0314,20190722,2019_19,Gstaad,SUI,Clay,0,1,1,32,127,R32,1,3,6-4 6-4,60.0,105311,Joao Sousa,49.0,965.0,POR,5,R,185.0,30.31,55.0,29.0,13.0,10.0,3.0,2.0,2.0,104327,Steve Darcis,198.0,266.0,BEL,4,R,178.0,35.36,53.0,26.0,12.0,10.0,3.0,2.0,4.0,Gstaad,68.42,31.58
2019-0533,20190225,2019_07,Sao Paulo,BRA,Clay,1,0,1,32,137,R32,1,3,6-1 6-2,61.0,106198,Hugo Dellien,95.0,600.0,BOL,5,R,180.0,25.69,37.0,23.0,4.0,7.0,4.0,0.0,1.0,124079,Pedro Martinez,170.0,325.0,ESP,2.5,R,185.0,21.83,48.0,16.0,5.0,8.0,0.0,2.0,8.0,Sao Paulo,53.4,46.6
2019-M009,20190513,2019_15,Rome Masters,ITA,Clay,0,0,2,64,140,R64,1,3,6-3 6-1,61.0,105077,Albert Ramos,88.0,635.0,ESP,2.5,L,188.0,31.32,47.0,28.0,8.0,8.0,1.0,1.0,1.0,104792,Gael Monfils,16.0,1965.0,FRA,5,R,193.0,32.7,41.0,21.0,2.0,8.0,3.0,0.0,4.0,Rome,29.07,70.93
2019-0717,20190408,2019_10,Houston,USA,Clay,0,0,1,32,155,QF,3,3,6-1 6-0,62.0,134770,Casper Ruud,95.0,645.0,NOR,5,R,183.0,20.29,45.0,22.0,10.0,7.0,0.0,2.0,2.0,104719,Marcel Granollers,112.0,520.0,ESP,5,R,190.0,32.99,40.0,12.0,4.0,6.0,0.0,2.0,7.0,Houston,58.57,41.43
2019-0410,20190415,2019_11,Monte Carlo Masters,FRA,Clay,0,0,2,64,156,R64,1,3,6-0 6-3,62.0,144719,Jaume Munar,61.0,870.0,ESP,4,R,183.0,21.94,40.0,13.0,13.0,7.0,3.0,0.0,1.0,200031,Lucas Catarina,554.0,7.0,MON,4,R,185.0,22.63,45.0,11.0,7.0,8.0,0.0,1.0,7.0,Monte Carlo,91.84,8.16
2019-M009,20190513,2019_15,Rome Masters,ITA,Clay,0,0,2,64,157,R16,3,3,6-3 6-0,62.0,104925,Novak Djokovic,1.0,12115.0,SRB,5,R,188.0,31.98,54.0,25.0,13.0,8.0,2.0,3.0,3.0,104259,Philipp Kohlschreiber,56.0,895.0,GER,5,R,178.0,35.57,38.0,11.0,7.0,7.0,2.0,0.0,4.0,Rome,87.51,12.49
2019-M009,20190513,2019_15,Rome Masters,ITA,Clay,0,0,2,64,158,R16,3,3,6-1 6-0,62.0,104745,Rafael Nadal,2.0,7945.0,ESP,5,L,185.0,32.94,37.0,20.0,9.0,7.0,1.0,1.0,1.0,105932,Nikoloz Basilashvili,18.0,1905.0,GEO,5,R,185.0,27.22,44.0,12.0,5.0,6.0,1.0,6.0,11.0,Rome,91.57,8.43
2019-0314,20190722,2019_19,Gstaad,SUI,Clay,0,1,1,32,161,R32,1,3,6-0 6-3,62.0,105077,Albert Ramos,85.0,639.0,ESP,5,L,188.0,31.51,47.0,24.0,12.0,8.0,2.0,4.0,4.0,105967,Henri Laaksonen,112.0,515.0,SUI,5,R,185.0,27.31,49.0,16.0,9.0,7.0,3.0,4.0,8.0,Gstaad,56.74,43.26
2019-0360,20190408,2019_10,Marrakech,MOR,Clay,0,0,1,32,187,R32,1,3,6-3 6-4,64.0,104898,Robin Haase,62.0,825.0,NED,5,R,190.0,32.01,56.0,27.0,16.0,10.0,9.0,3.0,3.0,104291,Malek Jaziri,65.0,782.0,TUN,5,R,185.0,35.21,47.0,24.0,8.0,9.0,2.0,1.0,3.0,Marrakech,65.63,34.37
2019-0308,20190429,2019_13,Munich,GER,Clay,0,0,1,32,188,R16,2,3,7-5 6-1,64.0,100644,Alexander Zverev,3.0,5770.0,GER,5,R,198.0,22.02,51.0,23.0,11.0,10.0,6.0,0.0,2.0,106228,Juan Ignacio Londero,80.0,693.0,ARG,5,R,180.0,25.7,45.0,17.0,5.0,9.0,1.0,2.0,7.0,Munich,79.48,20.52
2019-M021,20190506,2019_14,Madrid Masters,ESP,Clay,0,0,2,64,189,R64,1,3,6-2 6-3,64.0,104527,Stan Wawrinka,34.0,1230.0,SUI,5,R,183.0,34.11,45.0,16.0,20.0,9.0,3.0,0.0,0.0,105732,Pierre Hugues Herbert,41.0,1038.0,FRA,2.5,R,188.0,28.13,51.0,22.0,7.0,8.0,2.0,3.0,6.0,Madrid,66.04,33.96
2019-0322,20190520,2019_16,Geneva,SUI,Clay,0,0,1,32,190,R16,2,3,6-3 6-3,64.0,111797,Nicolas Jarry,75.0,705.0,CHI,5,R,198.0,23.61,44.0,26.0,10.0,9.0,8.0,0.0,0.0,106045,Denis Kudla,79.0,671.0,USA,5,R,180.0,26.75,57.0,24.0,9.0,9.0,1.0,4.0,7.0,Geneva,67.67,32.33
2019-7694,20190520,2019_16,Lyon,FRA,Clay,0,0,1,32,191,SF,4,3,6-4 6-2,64.0,105332,Benoit Paire,51.0,938.0,FRA,5,R,196.0,30.03,55.0,33.0,6.0,9.0,10.0,2.0,2.0,126203,Taylor Fritz,46.0,1010.0,USA,5,R,193.0,21.56,54.0,17.0,15.0,9.0,1.0,4.0,7.0,Lyon,45.69,54.31
2019-0316,20190715,2019_18,Bastad,SWE,Clay,0,0,1,32,193,SF,4,3,6-3 6-2,64.0,111797,Nicolas Jarry,64.0,885.0,CHI,5,R,198.0,23.76,51.0,25.0,10.0,9.0,6.0,3.0,4.0,105643,Federico Delbonis,70.0,801.0,ARG,5,L,190.0,28.77,44.0,15.0,8.0,8.0,1.0,2.0,6.0,Bastad,44.79,55.21
2019-0506,20190211,2019_05,Buenos Aires,ARG,Clay,0,0,1,32,205,F,5,3,6-1 6-2,65.0,106065,Marco Cecchinato,18.0,1870.0,ITA,5,R,185.0,26.37,40.0,22.0,10.0,8.0,4.0,0.0,0.0,106043,Diego Schwartzman,19.0,1835.0,ARG,5,R,170.0,26.49,57.0,23.0,5.0,7.0,0.0,5.0,9.0,Buenos Aires,42.09,57.91
2019-0506,20190211,2019_05,Buenos Aires,ARG,Clay,0,0,1,32,206,R32,1,3,6-2 6-1,65.0,104655,Pablo Cuevas,78.0,706.0,URU,5,R,180.0,33.11,44.0,20.0,12.0,7.0,2.0,1.0,1.0,105656,Marcelo Arevalo,220.0,233.0,ESA,2.5,R,191.0,28.32,54.0,19.0,8.0,8.0,1.0,5.0,10.0,Buenos Aires,79.76,20.24
2019-0360,20190408,2019_10,Marrakech,MOR,Clay,0,0,1,32,212,F,5,3,6-2 6-3,65.0,105332,Benoit Paire,69.0,763.0,FRA,5,R,196.0,29.92,52.0,25.0,12.0,9.0,8.0,1.0,1.0,104665,Pablo Andujar,70.0,757.0,ESP,5,R,180.0,33.2,44.0,22.0,5.0,8.0,2.0,1.0,4.0,Marrakech,43.9,56.1
2019-0425,20190422,2019_12,Barcelona,ESP,Clay,0,0,1,64,213,R64,1,3,6-3 6-1,65.0,103970,David Ferrer,155.0,355.0,ESP,4,R,175.0,37.05,44.0,18.0,15.0,8.0,1.0,3.0,3.0,104999,Mischa Zverev,96.0,616.0,GER,5,L,190.0,31.67,59.0,14.0,15.0,8.0,1.0,10.0,14.0,Barcelona,84.13,15.87
2019-0308,20190429,2019_13,Munich,GER,Clay,0,0,1,32,214,R16,2,3,6-1 6-3,65.0,106065,Marco Cecchinato,19.0,1830.0,ITA,5,R,185.0,26.58,42.0,22.0,10.0,8.0,3.0,0.0,0.0,105373,Martin Klizan,60.0,885.0,SVK,5,L,190.0,29.8,48.0,18.0,8.0,8.0,1.0,5.0,9.0,Munich,57.36,42.64
2019-M021,20190506,2019_14,Madrid Masters,ESP,Clay,0,0,2,64,215,R32,2,3,6-4 6-2,65.0,104925,Novak Djokovic,1.0,11160.0,SRB,5,R,188.0,31.96,46.0,29.0,9.0,9.0,7.0,1.0,1.0,126203,Taylor Fritz,57.0,900.0,USA,2.5,R,193.0,21.52,60.0,24.0,11.0,9.0,4.0,0.0,3.0,Madrid,85.81,14.19
2019-M021,20190506,2019_14,Madrid Masters,ESP,Clay,0,0,2,64,216,R64,1,3,7-6(4) 6-4,65.0,105526,Jan Lennard Struff,49.0,965.0,GER,5,R,193.0,29.03,55.0,30.0,17.0,11.0,12.0,1.0,2.0,106401,Nick Kyrgios,35.0,1215.0,AUS,5,R,193.0,24.02,74.0,37.0,8.0,11.0,9.0,1.0,3.0,Madrid,47.51,52.49
2019-0322,20190520,2019_16,Geneva,SUI,Clay,0,0,1,32,217,R16,2,3,6-2 6-1,65.0,100644,Alexander Zverev,5.0,4155.0,GER,5,R,198.0,22.08,60.0,34.0,5.0,8.0,6.0,8.0,9.0,105208,Ernests Gulbis,80.0,667.0,LAT,5,R,190.0,30.72,42.0,12.0,6.0,7.0,1.0,3.0,8.0,Geneva,80.37,19.63
2019-7694,20190520,2019_16,Lyon,FRA,Clay,0,0,1,32,218,R32,1,3,6-1 6-3,65.0,200005,Ugo Humbert,61.0,823.0,FRA,5,L,188.0,20.9,54.0,21.0,11.0,8.0,8.0,2.0,4.0,111815,Cameron Norrie,41.0,1055.0,GBR,5,L,188.0,23.74,47.0,13.0,6.0,8.0,2.0,3.0,9.0,Lyon,36.67,63.33
2019-0414,20190722,2019_19,Hamburg,GER,Clay,0,0,1,32,220,R32,1,3,6-3 6-0,65.0,105916,Marton Fucsovics,50.0,965.0,HUN,5,R,188.0,27.45,52.0,25.0,11.0,8.0,3.0,1.0,1.0,104259,Philipp Kohlschreiber,72.0,805.0,GER,5,R,178.0,35.76,41.0,15.0,5.0,7.0,3.0,5.0,9.0,Hamburg,42.16,57.84
2019-0414,20190722,2019_19,Hamburg,GER,Clay,0,0,1,32,221,R32,1,3,6-3 6-2,65.0,106228,Juan Ignacio Londero,56.0,938.0,ARG,5,R,180.0,25.93,53.0,24.0,14.0,9.0,0.0,2.0,2.0,200221,Alejandro Davidovich Fokina,127.0,428.0,ESP,2,R,183.0,20.13,52.0,24.0,5.0,8.0,2.0,2.0,5.0,Hamburg,65.88,34.12
2019-0414,20190722,2019_19,Hamburg,GER,Clay,0,0,1,32,222,R32,1,3,6-2 6-2,65.0,105373,Martin Klizan,62.0,881.0,SVK,5,L,190.0,30.03,47.0,14.0,18.0,8.0,3.0,1.0,2.0,127157,Daniel Altmaier,415.0,30.0,GER,4,R,188.0,20.86,44.0,12.0,6.0,8.0,2.0,0.0,5.0,Hamburg,66.98,33.02
2019-0533,20190225,2019_07,Sao Paulo,BRA,Clay,1,0,1,32,233,R32,1,3,6-3 6-2,66.0,144719,Jaume Munar,61.0,829.0,ESP,5,R,183.0,21.81,54.0,28.0,9.0,9.0,6.0,1.0,2.0,106203,Pedro Sakamoto,389.0,39.0,BRA,2.5,R,180.0,25.66,41.0,14.0,6.0,8.0,2.0,0.0,4.0,Sao Paulo,85.39,14.61
2019-0717,20190408,2019_10,Houston,USA,Clay,0,0,1,32,235,R32,1,3,6-3 6-4,66.0,105023,Sam Querrey,71.0,735.0,USA,5,R,198.0,31.5,49.0,26.0,11.0,10.0,13.0,0.0,1.0,106216,Bjorn Fratangelo,127.0,450.0,USA,4,R,183.0,25.72,62.0,21.0,14.0,9.0,3.0,4.0,7.0,Houston,57.84,42.16
2019-0360,20190408,2019_10,Marrakech,MOR,Clay,0,0,1,32,236,QF,3,3,6-3 6-2,66.0,104542,Jo-Wilfried Tsonga,116.0,503.0,FRA,4,R,188.0,33.97,43.0,26.0,10.0,9.0,4.0,0.0,0.0,132283,Lorenzo Sonego,103.0,573.0,ITA,2.5,R,191.0,23.91,44.0,19.0,7.0,8.0,5.0,3.0,6.0,Marrakech,66.11,33.89
2019-M009,20190513,2019_15,Rome Masters,ITA,Clay,0,0,2,64,237,R32,2,3,6-1 6-3,66.0,104925,Novak Djokovic,1.0,12115.0,SRB,5,R,188.0,31.98,40.0,28.0,4.0,8.0,1.0,0.0,0.0,133430,Denis Shapovalov,22.0,1470.0,CAN,5,L,185.0,20.08,61.0,18.0,12.0,8.0,2.0,9.0,13.0,Rome,86.71,13.29
2019-7694,20190520,2019_16,Lyon,FRA,Clay,0,0,1,32,238,R32,1,3,6-1 6-3,66.0,105357,John Millman,55.0,875.0,AUS,5,R,183.0,29.93,44.0,24.0,7.0,8.0,2.0,4.0,5.0,104665,Pablo Andujar,93.0,608.0,ESP,5,R,180.0,33.32,53.0,18.0,7.0,8.0,1.0,4.0,9.0,Lyon,44.91,55.09
2019-0319,20190729,2019_20,Kitzbuhel,AUT,Clay,0,0,1,32,244,R32,1,3,6-3 6-2,66.0,104259,Philipp Kohlschreiber,73.0,805.0,GER,5,R,178.0,35.78,47.0,19.0,12.0,9.0,5.0,0.0,2.0,104755,Richard Gasquet,68.0,860.0,FRA,5,R,185.0,33.11,51.0,12.0,12.0,8.0,3.0,7.0,12.0,Kitzbuhel,48.42,51.58
2019-0506,20190211,2019_05,Buenos Aires,ARG,Clay,0,0,1,32,252,R32,1,3,6-4 6-2,67.0,109739,Maximilian Marterer,85.0,654.0,GER,5,L,188.0,23.66,47.0,25.0,12.0,9.0,1.0,0.0,0.0,105487,Facundo Bagnis,148.0,382.0,ARG,2.5,L,183.0,28.96,53.0,17.0,13.0,9.0,0.0,3.0,6.0,Buenos Aires,51.44,48.56
2019-0410,20190415,2019_11,Monte Carlo Masters,FRA,Clay,0,0,2,64,256,R64,1,3,6-1 6-3,67.0,104259,Philipp Kohlschreiber,40.0,1090.0,GER,5,R,178.0,35.5,42.0,23.0,10.0,8.0,5.0,1.0,1.0,106121,Taro Daniel,72.0,753.0,JPN,2,R,191.0,26.21,49.0,19.0,7.0,8.0,1.0,4.0,8.0,Monte Carlo,71.67,28.33
2019-0425,20190422,2019_12,Barcelona,ESP,Clay,0,0,1,64,257,R64,1,3,6-2 6-2,67.0,111456,Mackenzie Mcdonald,61.0,871.0,USA,5,R,178.0,24.02,42.0,19.0,14.0,8.0,2.0,1.0,1.0,106121,Taro Daniel,71.0,769.0,JPN,5,R,191.0,26.23,51.0,17.0,8.0,8.0,2.0,6.0,10.0,Barcelona,27.58,72.42
2019-0308,20190429,2019_13,Munich,GER,Clay,0,0,1,32,258,R32,1,3,6-4 6-3,67.0,106045,Denis Kudla,82.0,663.0,USA,5,R,180.0,26.7,41.0,22.0,14.0,9.0,8.0,0.0,0.0,106378,Kyle Edmund,22.0,1575.0,GBR,5,R,188.0,24.3,73.0,32.0,11.0,10.0,5.0,7.0,10.0,Munich,14.7,85.3
2019-M009,20190513,2019_15,Rome Masters,ITA,Clay,0,0,2,64,259,R32,2,3,6-2 6-3,67.0,105526,Jan Lennard Struff,51.0,965.0,GER,5,R,193.0,29.05,38.0,16.0,14.0,8.0,8.0,1.0,2.0,105227,Marin Cilic,10.0,3025.0,CRO,5,R,198.0,30.62,58.0,16.0,13.0,9.0,2.0,4.0,9.0,Rome,39.45,60.55
2019-M009,20190513,2019_15,Rome Masters,ITA,Clay,0,0,2,64,260,R32,2,3,6-0 6-1,67.0,104745,Rafael Nadal,2.0,7945.0,ESP,5,L,185.0,32.94,39.0,17.0,12.0,7.0,1.0,1.0,1.0,104871,Jeremy Chardy,42.0,1040.0,FRA,5,R,188.0,32.25,46.0,11.0,8.0,6.0,0.0,2.0,7.0,Rome,92.02,7.98
2019-7694,20190520,2019_16,Lyon,FRA,Clay,0,0,1,32,261,R16,2,3,6-4 6-3,67.0,105332,Benoit Paire,51.0,938.0,FRA,5,R,196.0,30.03,53.0,16.0,15.0,9.0,4.0,1.0,4.0,104655,Pablo Cuevas,50.0,963.0,URU,5,R,180.0,33.38,64.0,21.0,9.0,10.0,3.0,4.0,10.0,Lyon,36.43,63.57
2019-0414,20190722,2019_19,Hamburg,GER,Clay,0,0,1,32,263,QF,3,3,6-2 6-3,67.0,105932,Nikoloz Basilashvili,16.0,1995.0,GEO,5,R,185.0,27.41,55.0,23.0,14.0,9.0,3.0,3.0,4.0,104871,Jeremy Chardy,77.0,735.0,FRA,5,R,188.0,32.44,43.0,18.0,5.0,8.0,2.0,3.0,7.0,Hamburg,49.74,50.26
